"Chinese","Pinyin","Definition"
"脑","nǎo","brain  / mind  / head  / essence "
"游","Yóu<br />yóu<br />yóu","surname You <br />to swim  / variant of 遊｜游 <br />to walk  / to tour  / to roam  / to travel "
"戏","xì<br />xì","variant of 戲｜戏 <br />trick  / drama  / play  / show  / CL: 出, 場｜场, 臺｜台"
"听","yǐn<br />tīng<br />tìng","smile (archaic) <br />to listen  / to hear  / to obey  / a can (loanword from English ""tin"")  / classifier for canned beverages <br />(literary pronunciation, still advocated in Taiwan) to rule  / to sentence  / to allow "
"音乐","",""
"歌","gē<br />gē","song  / CL: 支, 首 / to sing <br />variant of 歌 "
"音","yīn<br />yīn","sound  / noise  / note (of musical scale)  / tone  / news  / syllable  / reading (phonetic value of a character) <br />music  / rhyme and rhythm  / initial, 音, and final and tone, 韻｜韵, of a Chinese character  / phoneme "
"乐","Lè<br />Yuè<br />lè<br />yuè","surname Le <br />surname Yue <br />happy  / cheerful  / to laugh <br />music "
"跳舞","",""
"唱","chàng","to sing  / to call loudly  / to chant "
"跳","tiào","to jump  / to hop  / to skip over  / to bounce  / to palpitate "
"舞","wǔ","to dance  / to wield  / to brandish "
"起床","",""
"上学","",""
"上班","",""
"早饭","",""
"床","chuáng<br />chuáng<br />chuáng","bed  / couch  / classifier for beds  / CL: 張｜张<br />variant of 床 <br />bed sheet  / CL: 條｜条, 件, 張｜张, 床"
"班","Bān<br />bān<br />bān","surname Ban <br />team  / class  / squad  / work shift  / ranking  / CL: 個｜个 / classifier for groups <br />airliner  / (regular) flight  / CL: 趟, 次, 班"
"从","Cóng<br />cóng<br />zòng","surname Cong <br />from  / through  / via  / to follow  / to obey  / to engage in (an activity)  / never (in negative sentence)  / (Taiwan pr. [zong4]) retainer  / assistant  / accomplice  / related by common paternal grandfather or earlier ancestor <br />second cousin "
"睡觉","",""
"午饭","",""
"睡","shuì","to sleep  / to lie down "
"觉","jiào<br />jué","a nap  / a sleep  / CL: 場｜场<br />to feel  / to find that  / thinking  / awake  / aware "
"放学","",""
"下班","",""
"回","huí<br />huí<br />huí","to circle  / to go back  / to turn around  / to answer  / to return  / to revolve  / Hui ethnic group (Chinese Muslims)  / time  / classifier for acts of a play  / section or chapter (of a classic book) <br />to curve  / to return  / to revolve <br />variant of 迴｜回 "
"晚饭","",""
"放","fàng","to put  / to place  / to release  / to free  / to let go  / to let out  / to set off (fireworks) "
"钱","Qián<br />qián","surname Qian <br />coin  / money  / CL: 筆｜笔 / unit of weight, one tenth of a tael 兩｜两 "
"块","kuài","lump (of earth)  / chunk  / piece  / classifier for pieces of cloth, cake, soap etc  / (coll.) classifier for money and currency units "
"只","zhǐ<br />zhǐ<br />zhǐ<br />zhǐ<br />zhī","only  / merely  / just  / but <br />variant of 只 <br />grain that has begun to ripen  / variant of 衹｜只 <br />variant of 只 <br />classifier for birds and certain animals, one of a pair, some utensils, vessels etc "
"买","mǎi","to buy  / to purchase "
"一共","",""
"毛","Máo<br />máo","surname Mao <br />hair  / feather  / down  / wool  / mildew  / mold  / coarse or semifinished  / young  / raw  / careless  / unthinking  / nervous  / scared  / (of currency) to devalue or depreciate  / classifier for Chinese fractional monetary unit ( = 角 , = one-tenth of a yuan or 10 fen 分) "
"共","gòng","common  / general  / to share  / together  / total  / altogether  / abbr. for 共產黨｜共产党, Communist party "
"信用卡","",""
"收","shōu","to receive  / to accept  / to collect  / to put away  / to restrain  / to stop  / in care of (used on address line after name) "
"千","qiān<br />qiān","thousand <br />see 鞦韆｜秋千 "
"信","xìn","letter  / mail  / CL: 封 / to trust  / to believe  / to profess faith in  / truthful  / confidence  / trust  / at will  / at random "
"用","yòng","to use  / to employ  / to have to  / to eat or drink  / expense or outlay  / usefulness  / hence  / therefore "
"卡","kǎ<br />qiǎ","to stop  / to block  / card  / CL: 張｜张, 片 / calorie  / cassette  / (computing) (coll.) slow <br />to block  / to be stuck  / to be wedged  / customs station  / a clip  / a fastener  / a checkpost  / Taiwan pr. [ka3] "
"贵","guì<br />Guì<br />Guì","expensive  / noble  / precious  / (honorific) your <br />Guizhou province (Kweichow) in south central China, abbr. to 黔 or 貴｜贵, capital Guiyang 貴陽｜贵阳 <br />Guizhou province (Kweichow) in south central China, abbr. to 黔 or 貴｜贵, capital Guiyang 貴陽｜贵阳 "
"便宜","",""
"现金","",""
"便","biàn<br />pián","plain  / informal  / suitable  / convenient  / opportune  / to urinate or defecate  / equivalent to 就: then  / in that case  / even if  / soon afterwards <br />see 便宜 "
"宜","Yí<br />yí","surname Yi <br />proper  / should  / suitable  / appropriate "
"金","Jīn<br />jīn","surname Jin  / surname Kim (Korean)  / Jurchen Jin dynasty (1115-1234) <br />gold  / chemical element Au  / generic term for lustrous and ductile metals  / money  / golden  / highly respected  / one of the eight ancient musical instruments 八音 "
"太","tài","highest  / greatest  / too (much)  / very  / extremely "
"万","Mò<br />Wàn<br />wàn","see 万俟 <br />surname Wan <br />ten thousand  / a great number "
"行","háng<br />xíng","row  / line  / commercial firm  / line of business  / profession  / to rank (first, second etc) among one's siblings (by age)  / (in data tables) row  / (Tw) column <br />to walk  / to go  / to travel  / a visit  / temporary  / makeshift  / current  / in circulation  / to do  / to perform  / capable  / competent  / effective  / all right  / OK!  / will do  / behavior  / conduct  / Taiwan pr. [xing4] for the behavior-conduct sense "
"想","xiǎng","to think  / to believe  / to suppose  / to wish  / to want  / to miss (feel wistful about the absence of sb or sth) "
"干","gān<br />Gān<br />gān<br />gān<br />gān<br />gàn","old variant of 乾｜干 <br />surname Gan <br />dry  / clean  / in vain  / dried food  / foster  / adoptive  / to ignore <br />variant of 乾｜干 <br />to concern  / to interfere  / shield  / stem <br />tree trunk  / main part of sth  / to manage  / to work  / to do  / capable  / cadre  / to kill (slang)  / to fuck (vulgar) "
"影","yǐng","picture  / image  / film  / movie  / photograph  / reflection  / shadow  / trace "
"视","shì<br />shì<br />shì","variant of 視｜视 / variant of 示 <br />old variant of 視｜视 <br />to look at  / to regard  / to inspect "
"电视","",""
"电影","",""
"报纸","",""
"上网","",""
"报","bào","to announce  / to inform  / report  / newspaper  / recompense  / revenge  / CL: 份, 張｜张"
"纸","zhǐ<br />zhǐ","variant of 紙｜纸 <br />paper  / CL: 張｜张, 沓 / classifier for documents, letter etc "
"网","wǎng","net  / network "
"手机","",""
"新闻","",""
"机","Jī<br />jī","surname Ji <br />machine  / engine  / opportunity  / intention  / aircraft  / pivot  / crucial point  / flexible (quick-witted)  / organic  / CL: 臺｜台"
"新","Xīn<br />xīn<br />Xīn","abbr. for Xinjiang 新疆 or Singapore 新加坡 / surname Xin <br />new  / newly  / meso- (chemistry) <br />Xinjiang Uighur autonomous region, abbr. 新, capital Urumqi or Ürümqi 烏魯木齊｜乌鲁木齐 "
"闻","Wén<br />wén","surname Wen <br />to hear  / news  / well-known  / famous  / reputation  / fame  / to smell  / to sniff at "
"明星","",""
"体育","",""
"节目","",""
"韩国","",""
"体","tǐ","body  / form  / style  / system  / substance  / to experience  / aspect (linguistics) "
"节","jiē<br />jié","see 節骨眼｜节骨眼 <br />festival  / holiday  / node  / joint  / section  / segment  / part  / to economize  / to save  / to abridge  / moral integrity  / classifier for segments, e.g. lessons, train wagons, biblical verses  / CL: 個｜个"
"韩","Hán","Han, one of the Seven Hero States of the Warring States 戰國七雄｜战国七雄 / Korea from the fall of the Joseon dynasty in 1897  / Korea, esp. South Korea 大韓民國｜大韩民国 / surname Han "
"育","yù","to have children  / to raise or bring up  / to educate "
"目","mù","eye  / item  / section  / list  / catalogue  / table of contents  / order (taxonomy)  / goal  / name  / title "
"桌","zhuō<br />zhuō","table  / desk  / classifier for tables of guests at a banquet etc <br />old variant of 桌 "
"找","zhǎo","to try to find  / to look for  / to call on sb  / to find  / to seek  / to return  / to give change "
"桌子","",""
"椅子","",""
"椅","yǐ","chair "
"房间","",""
"冰箱","",""
"外","wài","outside  / in addition  / foreign  / external "
"房","Fáng<br />fáng","surname Fang <br />house  / room  / CL: 間｜间 / branch of an extended family  / classifier for family members (or concubines) "
"箱","xiāng","box  / trunk  / chest "
"位","wèi","position  / location  / place  / seat  / classifier for people (honorific)  / classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)  / (physics) potential "
"等","děng","class  / rank  / grade  / equal to  / same as  / to wait for  / to await  / et cetera  / and so on  / et al. (and other authors)  / after  / as soon as  / once "
"一下","",""
"进","jìn","to go forward  / to advance  / to go in  / to enter  / to put in  / to submit  / to take in  / to admit  / (math.) base of a number system  / classifier for sections in a building or residential compound "
"坐","Zuò<br />zuò","surname Zuo <br />to sit  / to take a seat  / to take (a bus, airplane etc)  / to bear fruit  / variant of 座 "
"菜单","",""
"英文","",""
"菜","cài","dish (type of food)  / vegetable  / cuisine  / CL: 盤｜盘, 道 / (coll.) (one's) type  / (of one's skills etc) weak  / poor "
"单","Shàn<br />dān","surname Shan <br />bill  / list  / form  / single  / only  / sole  / odd number  / CL: 個｜个"
"文","Wén<br />wén","surname Wen <br />language  / culture  / writing  / formal  / literary  / gentle  / (old) classifier for coins  / Kangxi radical 67 "
"服务员","",""
"点菜","",""
"买单","",""
"订位","",""
"服","fú<br />fù","clothes  / dress  / garment  / to serve (in the military, a prison sentence etc)  / to obey  / to be convinced (by an argument)  / to convince  / to admire  / to acclimatize  / to take (medicine)  / mourning clothes  / to wear mourning clothes <br />dose (measure word for medicine)  / Taiwan pr. [fu2] "
"务","wù","affair  / business  / matter  / to be engaged in  / to attend to  / by all means "
"员","yuán","person  / employee  / member "
"订","dìng","to agree  / to conclude  / to draw up  / to subscribe to (a newspaper etc)  / to order "
"些","xiē","some  / few  / several  / measure word indicating a small amount or small number (greater than 1) "
"西","Xī<br />xī","the West  / abbr. for Spain 西班牙 / Spanish <br />west "
"东","Dōng<br />dōng","surname Dong <br />east  / host (i.e. sitting on east side of guest)  / landlord "
"东西","",""
"超市","",""
"水果","",""
"超","chāo","to exceed  / to overtake  / to surpass  / to transcend  / to pass  / to cross  / ultra-  / super- "
"市","shì","market  / city  / CL: 個｜个"
"果","guǒ<br />guǒ","fruit  / result  / resolute  / indeed  / if really <br />variant of 果 / fruit "
"给","gěi<br />jǐ","to  / for  / for the benefit of  / to give  / to allow  / to do sth (for sb)  / (grammatical equivalent of 被)  / (grammatical equivalent of 把)  / (sentence intensifier) <br />to supply  / to provide "
"苹果","",""
"西瓜","",""
"苹","píng<br />pín<br />píng","(artemisia)  / duckweed <br />marsiliaceae  / clover fern <br />apple "
"瓜","guā","melon  / gourd  / squash "
"鸡蛋","",""
"新鲜","",""
"鸡","jī","fowl  / chicken  / CL: 隻｜只 / (slang) prostitute "
"蛋","Dàn<br />dàn","variant of 蜑 <br />egg  / CL: 個｜个, 打 / oval-shaped thing "
"鲜","xiǎn<br />xiǎn<br />xiān<br />xiǎn<br />xiān<br />xiǎn","variant of 鮮｜鲜 <br />variant of 尟｜鲜 <br />fresh  / bright (in color)  / delicious  / tasty  / delicacy  / aquatic foods <br />few  / rare <br />fish  / old variant of 鮮｜鲜 <br />old variant of 鮮｜鲜 "
"蔬菜","",""
"蔬","shū","vegetables "
"包","Bāo<br />bāo","surname Bao <br />to cover  / to wrap  / to hold  / to include  / to take charge of  / to contract (to or for)  / package  / wrapper  / container  / bag  / to hold or embrace  / bundle  / packet  / CL: 個｜个, 隻｜只"
"米","Mǐ<br />mǐ","surname Mi <br />rice  / CL: 粒 / meter (classifier) "
"面包","",""
"袋","dài","pouch  / bag  / sack  / pocket "
"糖","táng<br />táng","sugar  / sweets  / candy  / CL: 顆｜颗, 塊｜块<br />old variant of 糖 "
"为","wéi<br />wèi<br />wéi<br />wèi","as (in the capacity of)  / to take sth as  / to act as  / to serve as  / to behave as  / to become  / to be  / to do  / by (in the passive voice) <br />because of  / for  / to <br />variant of 為｜为 / as (i.e. in the capacity of)  / to take sth as  / to act as  / to serve as  / to behave as  / to become  / to be  / to do <br />variant of 為｜为, because of  / for  / to "
"习","Xí<br />xí","surname Xi <br />to practice  / to study  / habit "
"学习","",""
"中文","",""
"为什么","",""
"因为","",""
"所以","",""
"西班牙","",""
"因","yīn<br />yīn","old variant of 因 <br />cause  / reason  / because "
"所","suǒ","actually  / place  / classifier for houses, small buildings, institutions etc  / that which  / particle introducing a relative clause or passive  / CL: 個｜个"
"以","yǐ<br />yǐ<br />Yǐ<br />yǐ","old variant of 以 <br />old variant of 以 <br />abbr. for Israel 以色列 <br />to use  / by means of  / according to  / in order to  / because of  / at (a certain date or place) "
"牙","yá","tooth  / ivory  / CL: 顆｜颗"
"旅游","",""
"爱好","",""
"西班牙语","",""
"轻松","",""
"旅","lǚ","trip  / travel  / to travel  / brigade (army) "
"轻","qīng","light  / easy  / gentle  / soft  / reckless  / unimportant  / frivolous  / small in number  / unstressed  / neutral  / to disparage "
"松","Sōng<br />sōng<br />sōng","surname Song <br />pine  / CL: 棵<br />loose  / to loosen  / to relax "
"照相机","",""
"印度","",""
"拍照","",""
"拍","pāi","to pat  / to clap  / to slap  / to swat  / to take (a photo)  / to shoot (a film)  / racket (sports)  / beat (music) "
"照","zhào<br />zhào","variant of 照 / to shine  / to illuminate <br />according to  / in accordance with  / to shine  / to illuminate  / to reflect  / to look at (one's reflection)  / to take (a photo)  / photo  / as requested  / as before "
"印","Yìn<br />yìn","surname Yin  / abbr. for 印度 <br />to print  / to mark  / to engrave  / a seal  / a print  / a stamp  / a mark  / a trace  / image "
"相","Xiāng<br />xiāng<br />xiàng","surname Xiang <br />each other  / one another  / mutually <br />appearance  / portrait  / picture  / government minister  / (physics) phase  / (literary) to appraise (esp. by scrutinizing physical features)  / to read sb's fortune (by physiognomy, palmistry etc) "
"度","dù<br />duó","to pass  / to spend (time)  / measure  / limit  / extent  / degree of intensity  / degree (angles, temperature etc)  / kilowatt-hour  / classifier for events and occurrences <br />to estimate  / Taiwan pr. [duo4] "
"海","Hǎi<br />hǎi","surname Hai <br />ocean  / sea  / CL: 個｜个, 片 / great number of people or things  / (dialect) numerous "
"本","běn<br />běn","root  / stem  / origin  / source  / this  / the current  / original  / inherent  / originally  / classifier for books, periodicals, files etc <br />book  / notebook  / edition  / CL: 本"
"还","Huán<br />hái<br />huán","surname Huan <br />still  / still in progress  / still more  / yet  / even more  / in addition  / fairly  / passably (good)  / as early as  / even  / also  / else <br />to pay back  / to return "
"上海","",""
"还是","",""
"日本","",""
"肉","ròu","meat  / flesh  / pulp (of a fruit)  / (coll.) (of a fruit) squashy  / (of a person) flabby  / irresolute "
"米饭","",""
"面条","",""
"鸡肉","",""
"牛肉","",""
"猪肉","",""
"羊肉","",""
"饮料","",""
"猪","zhū","hog  / pig  / swine  / CL: 口, 頭｜头"
"羊","Yáng<br />yáng","surname Yang <br />sheep  / goat  / CL: 頭｜头, 隻｜只"
"饮","yǐn<br />yǐn<br />yìn","old variant of 飲｜饮 <br />to drink <br />to give (animals) water to drink "
"料","liào","material  / stuff  / grain  / feed  / to expect  / to anticipate  / to guess "
"作","zuō<br />zuò","worker  / workshop  / (slang) troublesome  / high-maintenance (person) <br />to do  / to grow  / to write or compose  / to pretend  / to regard as  / to feel  / writings or works "
"工","gōng","work  / worker  / skill  / profession  / trade  / craft  / labor "
"累","lěi<br />lèi<br />Léi<br />léi","to accumulate  / to involve or implicate (Taiwan pr. [lei4])  / continuous  / repeated <br />tired  / weary  / to strain  / to wear out  / to work hard <br />surname Lei <br />rope  / to bind together  / to twist around "
"工作","",""
"觉得","",""
"有点儿","",""
"胖","pán<br />pàng","healthy  / at ease <br />fat  / plump "
"健康","",""
"不要","",""
"健","jiàn","healthy  / to invigorate  / to strengthen  / to be good at  / to be strong in "
"康","Kāng<br />kāng","surname Kang <br />healthy  / peaceful  / abundant "
"身体","",""
"注意","",""
"身","shēn","body  / life  / oneself  / personally  / one's morality and conduct  / the main part of a structure or body  / pregnant  / classifier for sets of clothes: suit, twinset  / Kangxi radical 158 "
"注","zhù<br />zhù","to inject  / to pour into  / to concentrate  / to pay attention  / stake (gambling)  / classifier for sums of money  / variant of 註｜注 <br />to register  / to annotate  / note  / comment "
"意","Yì<br />yì","Italy  / Italian  / abbr. for 意大利 <br />idea  / meaning  / thought  / to think  / wish  / desire  / intention  / to expect  / to anticipate "
"开始","",""
"锻炼","",""
"开","kāi<br />kāi","to open  / to start  / to turn on  / to boil  / to write out (a prescription, check, invoice etc)  / to operate (a vehicle)  / carat (gold)  / abbr. for Kelvin, 開爾文｜开尔文 / abbr. for 開本｜开本, book format <br />book format, similar to in-4°, in-8° etc (a 16开 format is roughly A4)  / abbr. to 開｜开 "
"锻","duàn","to forge  / to discipline  / wrought "
"始","shǐ","to begin  / to start  / then  / only then "
"炼","liàn<br />liàn","to refine  / to smelt <br />variant of 鏈｜链, chain  / variant of 煉｜炼 "
"铁","Tiě<br />tiě","surname Tie <br />iron (metal)  / arms  / weapons  / hard  / strong  / violent  / unshakeable  / determined  / close  / tight (slang) "
"店","diàn","inn  / shop  / store  / CL: 家"
"地","de<br />dì","-ly  / structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct <br />earth  / ground  / field  / place  / land  / CL: 片"
"酒","jiǔ","wine (esp. rice wine)  / liquor  / spirits  / alcoholic beverage  / CL: 杯, 瓶, 罐, 桶, 缸"
"酒店","",""
"地铁","",""
"不准","",""
"准","zhǔn<br />zhǔn","to allow  / to grant  / in accordance with  / in the light of <br />accurate  / standard  / definitely  / certainly  / about to become (bride, son-in-law etc)  / quasi-  / para- "
"出租车","",""
"站","zhàn","station  / to stand  / to halt  / to stop  / branch of a company or organization  / website "
"车","Chē<br />chē<br />jū","surname Che <br />car  / vehicle  / CL: 輛｜辆 / machine  / to shape with a lathe <br />war chariot (archaic)  / rook (in Chinese chess)  / rook (in chess) "
"出","chū<br />chū","to go out  / to come out  / to occur  / to produce  / to go beyond  / to rise  / to put forth  / to happen  / (used after a verb to indicate an outward direction or a positive result)  / classifier for dramas, plays, operas etc <br />variant of 出 (classifier for plays or chapters of classical novels) "
"租","zū","to hire  / to rent  / to charter  / to rent out  / to lease out  / rent  / land tax "
"可以","",""
"汽车","",""
"公共","",""
"船","chuán<br />chuán","variant of 船 <br />boat  / vessel  / ship  / CL: 條｜条, 艘, 隻｜只"
"公","gōng","public  / collectively owned  / common  / international (e.g. high seas, metric system, calendar)  / make public  / fair  / just  / Duke, highest of five orders of nobility 五等爵位 / honorable (gentlemen)  / father-in-law  / male (animal) "
"汽","qì","steam  / vapor "
"件","jiàn","item  / component  / classifier for events, things, clothes etc "
"衣","yī<br />yì","clothes  / CL: 件<br />to dress  / to wear  / to put on (clothes) "
"商","Shāng<br />shāng","Shang Dynasty (c. 1600-1046 BC)  / surname Shang <br />commerce  / merchant  / dealer  / to consult  / 2nd note in pentatonic scale  / quotient (as in 智商, intelligence quotient) "
"商店","",""
"衣服","",""
"门","Mén<br />mén","surname Men <br />gate  / door  / CL: 扇 / gateway  / doorway  / CL: 個｜个 / opening  / valve  / switch  / way to do something  / knack  / family  / house  / (religious) sect  / school (of thought)  / class  / category  / phylum or division (taxonomy)  / classifier for large guns  / classifier for lessons, subjects, branches of technology  / (suffix) -gate (i.e. scandal; derived from Watergate) "
"欢迎","",""
"迎","yíng","to welcome  / to meet  / to face  / to forge ahead (esp. in the face of difficulties) "
"您","nín","you (courteous, as opposed to informal 你) "
"帮忙","",""
"需要","",""
"需","xū","to require  / to need  / to want  / necessity  / need "
"随便","",""
"随","Suí<br />suí","surname Sui <br />to follow  / to comply with  / varying according to...  / to allow  / subsequently "
"读","dòu<br />dú","comma  / phrase marked by pause <br />to read  / to study  / reading of word (i.e. pronunciation), similar to 拼音 "
"意思","",""
"写","xiě","to write "
"难","nán<br />nàn","difficult (to...)  / problem  / difficulty  / difficult  / not good <br />disaster  / distress  / to scold "
"思","sī","to think  / to consider "
"秒","miǎo","second (unit of time)  / arc second (angular measurement unit)  / (coll.) instantly "
"刻","kè","quarter (hour)  / moment  / to carve  / to engrave  / to cut  / oppressive  / classifier for short time intervals "
"差","chā<br />chà<br />chāi","difference  / discrepancy  / to differ  / error  / to err  / to make a mistake <br />to differ from  / to fall short of  / lacking  / wrong  / inferior <br />to send  / to commission  / messenger  / mission "
"小时","",""
"分钟","",""
"小","xiǎo","small  / tiny  / few  / young "
"时","shí<br />Shí<br />shí","old variant of 時｜时 <br />surname Shi <br />o'clock  / time  / when  / hour  / season  / period "
"钟","Zhōng<br />zhōng<br />zhōng","surname Zhong <br />handleless cup  / goblet  / to concentrate  / variant of 鐘｜钟 <br />clock  / o'clock  / time as measured in hours and minutes  / bell  / CL: 架, 座"
"整","zhěng","exactly  / in good order  / whole  / complete  / entire  / in order  / orderly  / to repair  / to mend  / to renovate  / (coll.) to fix sb  / to give sb a hard time  / to mess with sb "
"杯","bēi<br />bēi<br />bēi","cup  / trophy cup  / classifier for certain containers of liquids: glass, cup <br />variant of 杯 <br />variant of 杯 / trophy cup  / classifier for certain containers of liquids: glass, cup "
"啤","pí","beer "
"德","Dé<br />dé<br />dé<br />dé","Germany  / German  / abbr. for 德國｜德国 <br />virtue  / goodness  / morality  / ethics  / kindness  / favor  / character  / kind <br />variant of 德 <br />variant of 德 "
"德国","",""
"啤酒","",""
"果汁","",""
"汁","zhī","juice "
"香蕉","",""
"蛋糕","",""
"蕉","jiāo<br />qiáo","banana <br />see 蕉萃 "
"糕","gāo<br />gāo","cake <br />variant of 糕 "
"碗","wǎn<br />wǎn<br />wǎn<br />wǎn","variant of 碗 <br />variant of 碗 <br />variant of 碗 <br />bowl  / cup  / CL: 隻｜只, 個｜个"
"杯子","",""
"盘子","",""
"盘","pán","plate  / dish  / tray  / board  / hard drive (computing)  / to build  / to coil  / to check  / to examine  / to transfer (property)  / to make over  / classifier for food: dish, helping  / to coil  / classifier for coils of wire  / classifier for games of chess "
"筷子","",""
"刀","Dāo<br />dāo","surname Dao <br />knife  / blade  / single-edged sword  / cutlass  / CL: 把 / (slang) dollar (loanword)  / classifier for sets of one hundred sheets (of paper)  / classifier for knife cuts or stabs "
"叉","chā<br />chá<br />chǎ","fork  / pitchfork  / prong  / pick  / cross  / intersect  / ""X"" <br />to cross  / be stuck <br />to diverge  / to open (as legs) "
"筷","kuài","chopstick "
"勺子","",""
"勺","sháo","spoon  / ladle  / CL: 把 / abbr. for 公勺, centiliter (unit of volume) "
"室","Shì<br />shì","surname Shi <br />room  / work unit  / grave  / scabbard  / family or clan  / one of the 28 constellations of Chinese astronomy "
"办","bàn","to do  / to manage  / to handle  / to go about  / to run  / to set up  / to deal with "
"辆","liàng","classifier for vehicles "
"办公室","",""
"瓶子","",""
"照片","",""
"瓶","píng<br />píng","bottle  / vase  / pitcher  / CL: 個｜个 / classifier for wine and liquids <br />variant of 瓶 "
"片","piān<br />piàn","disk  / sheet <br />thin piece  / flake  / a slice  / film  / TV play  / to slice  / to carve thin  / partial  / incomplete  / one-sided  / classifier for slices, tablets, tract of land, area of water  / classifier for CDs, movies, DVDs etc  / used with numeral 一: classifier for scenario, scene, feeling, atmosphere, sound etc "
"鸟","diǎo<br />niǎo","variant of 屌 / penis <br />bird  / CL: 隻｜只, 群 / (dialect) to pay attention to  / (intensifier) damned  / goddam "
"树","shù","tree  / CL: 棵 / to cultivate  / to set up "
"步","Bù<br />bù","surname Bu <br />a step  / a pace  / walk  / march  / stages in a process  / situation "
"跑","páo<br />pǎo","(of an animal) to paw (the ground) <br />to run  / to run away  / to escape  / to run around (on errands etc)  / (of a gas or liquid) to leak or evaporate  / (verb complement) away  / off "
"泳","yǒng","swimming  / to swim "
"游泳","",""
"跑步","",""
"踢","tī","to kick  / to play (e.g. soccer)  / (slang) butch (in a lesbian relationship) "
"足球","",""
"打","dá<br />dǎ","dozen (loanword) <br />to beat  / to strike  / to hit  / to break  / to type  / to mix up  / to build  / to fight  / to fetch  / to make  / to tie up  / to issue  / to shoot  / to calculate  / to play (a game)  / since  / from "
"篮球","",""
"足","jù<br />zú","excessive <br />foot  / to be sufficient  / ample "
"篮","lán","basket (receptacle)  / basket (in basketball) "
"球","qiú","ball  / sphere  / globe  / CL: 個｜个 / ball game  / match  / CL: 場｜场"
"运动","",""
"马","Mǎ<br />mǎ","surname Ma  / abbr. for Malaysia 馬來西亞｜马来西亚 <br />horse  / CL: 匹 / horse or cavalry piece in Chinese chess  / knight in Western chess "
"骑","jì<br />qí","(Taiwan) saddle horse  / mounted soldier <br />to ride (an animal or bike)  / to sit astride  / classifier for saddle-horses "
"运","yùn","to move  / to transport  / to use  / to apply  / fortune  / luck  / fate "
"动","dòng","(of sth) to move  / to set in movement  / to displace  / to touch  / to make use of  / to stir (emotions)  / to alter  / abbr. for 動詞｜动词, verb "
"吧","bā<br />ba","bar (loanword) (serving drinks, or providing Internet access etc)  / to puff (on a pipe etc)  / (onom.) bang  / abbr. for 貼吧｜贴吧 <br />(modal particle indicating suggestion or surmise)  / ...right?  / ...OK?  / ...I presume. "
"出去","",""
"时间","",""
"时候","",""
"空","kōng<br />kòng","empty  / air  / sky  / in vain <br />to empty  / vacant  / unoccupied  / space  / leisure  / free time "
"来","lái","to come  / to arrive  / to come round  / ever since  / next "
"候","hòu","to wait  / to inquire after  / to watch  / season  / climate  / (old) period of five days "
"过","Guò<br />guò<br />guo","surname Guo <br />to cross  / to go over  / to pass (time)  / to celebrate (a holiday)  / to live  / to get along  / excessively  / too- <br />(experienced action marker) "
"一起","",""
"不好意思","",""
"告诉","",""
"告","gào","to say  / to tell  / to announce  / to report  / to denounce  / to file a lawsuit  / to sue "
"诉","sù<br />sù","variant of 訴｜诉 <br />to complain  / to sue  / to tell "
"约会","",""
"浪漫","",""
"浪","làng","wave  / breaker  / unrestrained  / dissipated "
"漫","màn","free  / unrestrained  / to inundate "
"该","gāi","should  / ought to  / probably  / must be  / to deserve  / to owe  / to be sb's turn to do sth  / that  / the above-mentioned "
"病","bìng","illness  / CL: 場｜场 / disease  / to fall ill  / defect "
"舒","Shū<br />shū","surname Shu <br />to stretch  / to unfold  / to relax  / leisurely "
"应","Yìng<br />yīng<br />yìng","surname Ying <br />to agree (to do sth)  / should  / ought to  / must  / (legal) shall <br />to answer  / to respond  / to comply with  / to deal or cope with "
"生病","",""
"应该","",""
"舒服","",""
"疼","téng","(it) hurts  / sore  / to love dearly "
"头","tóu<br />tou","head  / hair style  / the top  / end  / beginning or end  / a stub  / remnant  / chief  / boss  / side  / aspect  / first  / leading  / classifier for pigs or livestock  / CL: 個｜个<br />suffix for nouns "
"休息","",""
"休","Xiū<br />xiū","surname Xiu <br />to rest  / to stop doing sth for a period of time  / to cease  / (imperative) don't "
"息","xī","breath  / news  / interest (on an investment or loan)  / to cease  / to stop  / to rest  / Taiwan pr. [xi2] "
"肚子","",""
"肚","dǔ<br />dù<br />dǔr","tripe <br />belly <br />erhua variant of 肚 "
"药","yào<br />yào","leaf of the iris  / variant of 藥｜药 <br />medicine  / drug  / substance used for a specific purpose (e.g. poisoning, explosion, fermenting)  / CL: 種｜种, 服, 味 / to poison "
"一定","",""
"感冒","",""
"感","gǎn","to feel  / to move  / to touch  / to affect  / feeling  / emotion  / (suffix) sense of ~ "
"定","dìng","to set  / to fix  / to determine  / to decide  / to order "
"冒","mào<br />Mào<br />mào","old variant of 冒 <br />surname Mao <br />to emit  / to give off  / to send out (or up, forth)  / to brave  / to face  / reckless  / to falsely adopt (sb's identity etc)  / to feign  / (literary) to cover "
"留","liú<br />liú<br />liú","old variant of 留 <br />to leave (a message etc)  / to retain  / to stay  / to remain  / to keep  / to preserve <br />old variant of 留 "
"请假","",""
"发烧","",""
"别","Bié<br />bié<br />biè","surname Bie <br />to leave  / to depart  / to separate  / to distinguish  / to classify  / other  / another  / don't ...!  / to pin  / to stick (sth) in <br />to make sb change their ways, opinions etc "
