ID	DL Section	DL Lesson	Simplified Chinese	Selected Traditional	Cleaned1 CC-CEDICT Pinyin	Selected Pinyin	Pinyin Review Notes	Clean CC-CEDICT English definition	Google_Translate_Definition	Selected English definition	Definition Review Notes	Alternate Occurrences
239	3	People 1	男	男	nán	nán	[2018-11-15 CFox]: No alternate Pinyin available	male / Baron, lowest of five orders of nobility 五等爵位 / CL: 個｜个	male	male / Baron, lowest of five orders of nobility 五等爵位 / CL: 個｜个	[2018-11-15 CFox]: Needs Manual Review	男 (People 1), 宅男 (Internet Slang)
240	3	People 1	矮	矮	ǎi	ǎi	[2018-11-15 CFox]: No alternate Pinyin available	low / short (in length)	short	low / short (in length)	[2018-11-15 CFox]: Needs Manual Review	n/a
241	3	People 1	朋	朋	péng	péng	[2018-11-15 CFox]: No alternate Pinyin available	friend	Friend	friend	[2018-11-15 CFox]: Needs Manual Review	朋友 (People 1), 朋 (People 1), 朋友圈 (Internet Slang)
242	3	People 1	友	友	yǒu	yǒu	[2018-11-15 CFox]: No alternate Pinyin available	friend	Friendly	friend	[2018-11-15 CFox]: Needs Manual Review	朋友 (People 1), 友 (People 1), 朋友圈 (Internet Slang), 好友 (Internet Slang)
243	3	People 1	可爱	可愛	kě ài	kě ài	[2018-11-15 CFox]: No alternate Pinyin available	adorable / cute / lovely	lovely	adorable / cute / lovely	[2018-11-15 CFox]: Needs Manual Review	n/a
244	3	People 1	非常	非常	fēi cháng	fēi cháng	[2018-11-15 CFox]: No alternate Pinyin available	very / very much / unusual / extraordinary	very much	very / very much / unusual / extraordinary	[2018-11-15 CFox]: Needs Manual Review	n/a
245	3	People 1	可	可	kě; kè	kě	[2018-11-15 CFox]: Needs Manual Review	can / may / able to / to approve / to permit / to suit / (particle used for emphasis) certainly / very || see 可汗	can	can / may / able to / to approve / to permit / to suit / (particle used for emphasis) certainly / very  see 可汗	[2018-11-15 CFox]: Needs Manual Review	可爱 (People 1), 可 (People 1), 可以 (Transportation), 可能 (Weather), 可怕 (Personality and Feelings)
246	3	People 1	非	非	Fēi; fēi	fēi	[2018-11-15 CFox]: No alternate Pinyin available	abbr. for 非洲, Africa || to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must	non-	abbr. for 非洲, Africa  to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must	[2018-11-15 CFox]: Needs Manual Review	非常 (People 1), 非 (People 1)
247	3	People 1	常	常	Cháng; cháng	cháng	[2018-11-15 CFox]: No alternate Pinyin available	surname Chang || always / ever / often / frequently / common / general / constant	often	surname Chang  always / ever / often / frequently / common / general / constant	[2018-11-15 CFox]: Needs Manual Review	非常 (People 1), 常 (People 1), 经常 (Personality and Feelings)
248	3	Time 2	上午	上午	shàng wǔ	shàng wǔ	[2018-11-15 CFox]: No alternate Pinyin available	morning / CL: 個｜个	morning	morning / CL: 個｜个	[2018-11-15 CFox]: Needs Manual Review	n/a
249	3	Time 2	分	分	fēn; fèn	fēn	[2018-11-15 CFox]: Needs Manual Review	to divide / to separate / to distribute / to allocate / to distinguish (good and bad) / part or subdivision / fraction / one tenth (of certain units) / unit of length equivalent to 0.33 cm / minute (unit of time) / minute (angular measurement unit) / a point (in sports or games) / 0.01 yuan (unit of money) || part / share / ingredient / component	Minute	to divide / to separate / to distribute / to allocate / to distinguish (good and bad) / part or subdivision / fraction / one tenth (of certain units) / unit of length equivalent to 0.33 cm / minute (unit of time) / minute (angular measurement unit) / a point (in sports or games) / 0.01 yuan (unit of money)  part / share / ingredient / component	[2018-11-15 CFox]: Needs Manual Review	分 (Time 2), 分 (Payment), 分钟 (Time 3), 分手 (Future), 分享 (Internet Slang)
250	3	Time 2	下午	下午	xià wǔ	xià wǔ	[2018-11-15 CFox]: No alternate Pinyin available	afternoon / CL: 個｜个 / p.m.	in the afternoon	afternoon / CL: 個｜个 / p.m.	[2018-11-15 CFox]: Needs Manual Review	n/a
251	3	Time 2	晚上	晚上	wǎn shang	wǎn shang	[2018-11-15 CFox]: No alternate Pinyin available	evening / night / CL: 個｜个 / in the evening	at night	evening / night / CL: 個｜个 / in the evening	[2018-11-15 CFox]: Needs Manual Review	n/a
252	3	Time 2	午	午	wǔ	wǔ	[2018-11-15 CFox]: No alternate Pinyin available	7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse / ancient Chinese compass point: 180° (south)	Noon	7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse / ancient Chinese compass point: 180° (south)	[2018-11-15 CFox]: Needs Manual Review	上午 (Time 2), 下午 (Time 2), 午 (Time 2), 中午 (Time 2), 午饭 (Daily Routine 1), 端午节 (Festivals)
253	3	Time 2	晚	晚	wǎn	wǎn	[2018-11-15 CFox]: No alternate Pinyin available	evening / night / late	late	evening / night / late	[2018-11-15 CFox]: Needs Manual Review	晚安 (Greeting 4), 晚上 (Time 2), 晚 (Time 2), 晚饭 (Daily Routine 1), 晚 (Time 3)
254	3	Time 2	下	下	xià	xià	[2018-11-15 CFox]: No alternate Pinyin available	down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action	under	down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action	[2018-11-15 CFox]: Needs Manual Review	下午 (Time 2), 下 (Time 2), 下 (Time 2), 下班 (Daily Routine 1), 下 (Location 4), 一下 (Restaurant), 下 (Transportation), 下 (Weather), 下课 (School), 下面 (Location 5), 下 (Environment), 下载 (Languages 3)
255	3	Time 2	每	每	měi	měi	[2018-11-15 CFox]: No alternate Pinyin available	each / every	each	each / every	[2018-11-15 CFox]: Needs Manual Review	n/a
256	3	Time 2	中午	中午	zhōng wǔ	zhōng wǔ	[2018-11-15 CFox]: No alternate Pinyin available	noon / midday / CL: 個｜个	noon	noon / midday / CL: 個｜个	[2018-11-15 CFox]: Needs Manual Review	n/a
257	3	Time 2	周末	週末	zhōu mò	zhōu mò	[2018-11-15 CFox]: No alternate Pinyin available	weekend	weekend	weekend	[2018-11-15 CFox]: Needs Manual Review	n/a
258	3	Time 2	周	[2018-11-15 CFox]: Needs Manual Review	Zhōu; zhōu; zhōu	zhōu	[2018-11-15 CFox]: Needs Manual Review	surname Zhou / Zhou Dynasty (1046-256 BC) || to make a circuit / to circle / circle / circumference / lap / cycle / complete / all / all over / thorough / to help financially || week / weekly / variant of 周	week	surname Zhou / Zhou Dynasty (1046-256 BC)  to make a circuit / to circle / circle / circumference / lap / cycle / complete / all / all over / thorough / to help financially  week / weekly / variant of 周	[2018-11-15 CFox]: Needs Manual Review	周末 (Time 2), 周 (Time 2), 周围 (Location 6)
259	3	Time 2	末	末	mò	mò	[2018-11-15 CFox]: No alternate Pinyin available	tip / end / final stage / latter part / inessential detail / powder / dust / opera role of old man	end	tip / end / final stage / latter part / inessential detail / powder / dust / opera role of old man	[2018-11-15 CFox]: Needs Manual Review	周末 (Time 2), 末 (Time 2)
260	3	Time 2	昨天	昨天	zuó tiān	zuó tiān	[2018-11-15 CFox]: No alternate Pinyin available	yesterday	yesterday	yesterday	[2018-11-15 CFox]: Needs Manual Review	n/a
261	3	Time 2	了	了	le; liǎo; liǎo	le	[2018-11-15 CFox]: Needs Manual Review	(modal particle intensifying preceding clause) / (completed action marker) || to finish / to achieve / variant of 瞭｜了 / to understand clearly || (of eyes) bright / clear-sighted / to understand clearly	The	(modal particle intensifying preceding clause) / (completed action marker)  to finish / to achieve / variant of 瞭｜了 / to understand clearly  (of eyes) bright / clear-sighted / to understand clearly	[2018-11-15 CFox]: Needs Manual Review	了 (Time 2), 了 (Payment), 了 (Health 2), 除了 (Food 3), 为了 (Hobbies 3), 了解 (Hobbies 3), 了 (Hobbies 3)
262	3	Time 2	做	做	zuò	zuò	[2018-11-15 CFox]: No alternate Pinyin available	to do / to make / to produce / to write / to compose / to act as / to engage in / to hold (a party) / to be / to become / to function (in some capacity) / to serve as / to be used for / to form (a bond or relationship) / to pretend / to feign / to act a part / to put on appearance	do	to do / to make / to produce / to write / to compose / to act as / to engage in / to hold (a party) / to be / to become / to function (in some capacity) / to serve as / to be used for / to form (a bond or relationship) / to pretend / to feign / to act a part / to put on appearance	[2018-11-15 CFox]: Needs Manual Review	做 (Time 2), 做 (Daily Routine 1), 做梦 (Daily Routine 2)
263	3	Time 2	昨	昨	zuó	zuó	[2018-11-15 CFox]: No alternate Pinyin available	yesterday	Yesterday	yesterday	[2018-11-15 CFox]: Needs Manual Review	昨天 (Time 2), 昨 (Time 2)
264	3	Time 2	今年	今年	jīn nián	jīn nián	[2018-11-15 CFox]: No alternate Pinyin available	this year	this year	this year	[2018-11-15 CFox]: Needs Manual Review	n/a
265	3	Time 2	去年	去年	qù nián	qù nián	[2018-11-15 CFox]: No alternate Pinyin available	last year	last year	last year	[2018-11-15 CFox]: Needs Manual Review	n/a
266	3	Time 2	明年	明年	míng nián	míng nián	[2018-11-15 CFox]: No alternate Pinyin available	next year	next year	next year	[2018-11-15 CFox]: Needs Manual Review	n/a
267	3	Time 2	去	去	qù	qù	[2018-11-15 CFox]: No alternate Pinyin available	to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation)	go with	to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation)	[2018-11-15 CFox]: Needs Manual Review	去年 (Time 2), 去 (Time 2), 去 (Hobbies 2), 出去 (Invitiation 1), 去 (Environment), 过去 (Communication 2)
268	3	Location 3	旁边	旁邊	páng biān	páng biān	[2018-11-15 CFox]: No alternate Pinyin available	lateral / side / to the side / beside	next to	lateral / side / to the side / beside	[2018-11-15 CFox]: Needs Manual Review	n/a
269	3	Location 3	左边	左邊	zuǒ bian	zuǒ bian	[2018-11-15 CFox]: No alternate Pinyin available	left / the left side / to the left of	left	left / the left side / to the left of	[2018-11-15 CFox]: Needs Manual Review	n/a
270	3	Location 3	右边	右邊	yòu bian	yòu bian	[2018-11-15 CFox]: No alternate Pinyin available	right side / right, to the right	right	right side / right, to the right	[2018-11-15 CFox]: Needs Manual Review	n/a
271	3	Location 3	旁	旁	páng	páng	[2018-11-15 CFox]: No alternate Pinyin available	beside / one side / other / side / self / the right-hand side of split Chinese character, often the phonetic	Beside	beside / one side / other / side / self / the right-hand side of split Chinese character, often the phonetic	[2018-11-15 CFox]: Needs Manual Review	旁边 (Location 3), 旁 (Location 3)
272	3	Location 3	左	左	Zuǒ; zuǒ	zuǒ	[2018-11-15 CFox]: No alternate Pinyin available	surname Zuo || left / the Left (politics) / east / unorthodox / queer / wrong / differing / opposite / variant of 佐	left	surname Zuo  left / the Left (politics) / east / unorthodox / queer / wrong / differing / opposite / variant of 佐	[2018-11-15 CFox]: Needs Manual Review	左边 (Location 3), 左 (Location 3), 左 (Location 6)
273	3	Location 3	右	右	yòu	yòu	[2018-11-15 CFox]: No alternate Pinyin available	right (-hand) / the Right (politics) / west (old)	right	right (-hand) / the Right (politics) / west (old)	[2018-11-15 CFox]: Needs Manual Review	右边 (Location 3), 右 (Location 3), 右 (Location 6)
274	3	Location 3	边	邊	biān; bian	biān	[2018-11-15 CFox]: Needs Manual Review	side / edge / margin / border / boundary / CL: 個｜个 / simultaneously || suffix of a noun of locality	side	side / edge / margin / border / boundary / CL: 個｜个 / simultaneously  suffix of a noun of locality	[2018-11-15 CFox]: Needs Manual Review	旁边 (Location 3), 左边 (Location 3), 右边 (Location 3), 边 (Location 3), 一边 (Daily Routine 2), 西边 (Location 6), 东边 (Location 6), 北边 (Location 6), 南边 (Location 6), 海边 (Travel 4)
275	3	Location 3	前面	前面	qián miàn	qián miàn	[2018-11-15 CFox]: No alternate Pinyin available	ahead / in front / preceding / above / also pr. [qian2 mian5]	front	ahead / in front / preceding / above / also pr. [qian2 mian5]	[2018-11-15 CFox]: Needs Manual Review	n/a
276	3	Location 3	后面	後面	hòu miàn	hòu miàn	[2018-11-15 CFox]: No alternate Pinyin available	rear / back / behind / later / afterwards / also pr. [hou4 mian5]	Behind	rear / back / behind / later / afterwards / also pr. [hou4 mian5]	[2018-11-15 CFox]: Needs Manual Review	n/a
277	3	Location 3	学校	學校	xué xiào	xué xiào	[2018-11-15 CFox]: No alternate Pinyin available	school / CL: 所	school	school / CL: 所	[2018-11-15 CFox]: Needs Manual Review	n/a
278	3	Location 3	前	前	qián	qián	[2018-11-15 CFox]: No alternate Pinyin available	front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly	before	front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly	[2018-11-15 CFox]: Needs Manual Review	前面 (Location 3), 前 (Location 3), 前 (Time 4), 前天 (Time 4), 以前 (Daily Routine 2), 前 (Location 6)
279	3	Location 3	后	[2018-11-15 CFox]: Needs Manual Review	Hòu; hòu; hòu	hòu	[2018-11-15 CFox]: Needs Manual Review	surname Hou || empress / queen || back / behind / rear / afterwards / after / later	Rear	surname Hou  empress / queen  back / behind / rear / afterwards / after / later	[2018-11-15 CFox]: Needs Manual Review	后面 (Location 3), 后 (Location 3), 后 (Time 4), 后天 (Time 4), 以后 (Daily Routine 2), 然后 (Location 6), 最后 (Location 6), 后 (Location 6), 后来 (Languages 2)
280	3	Location 3	校	校	jiào; xiào	jiào	[2018-11-15 CFox]: Needs Manual Review	to proofread / to check / to compare || school / military officer / CL: 所	school	to proofread / to check / to compare  school / military officer / CL: 所	[2018-11-15 CFox]: Needs Manual Review	学校 (Location 3), 校 (Location 3), 校长 (School 2)
281	3	Location 3	走	走	zǒu	zǒu	[2018-11-15 CFox]: No alternate Pinyin available	to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)	go	to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走) / to change (shape, form, meaning)	[2018-11-15 CFox]: Needs Manual Review	走 (Location 3), 走路 (Travel)
282	3	Location 3	到	到	dào	dào	[2018-11-15 CFox]: No alternate Pinyin available	to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action)	To	to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action)	[2018-11-15 CFox]: Needs Manual Review	到 (Location 3), 迟到 (Travel), 遇到 (Personality and Feelings)
283	3	Location 3	路	路	Lù; lù	lù	[2018-11-15 CFox]: No alternate Pinyin available	surname Lu || road / CL: 條｜条 / journey / route / line (bus etc) / sort / kind	road	surname Lu  road / CL: 條｜条 / journey / route / line (bus etc) / sort / kind	[2018-11-15 CFox]: Needs Manual Review	路 (Location 3), 路 (Travel), 走路 (Travel), 迷路 (Location 6), 马路 (Travel 4)
284	3	Location 3	怎么	怎麼	zěn me	zěn me	[2018-11-15 CFox]: No alternate Pinyin available	how? / what? / why?	how	how? / what? / why?	[2018-11-15 CFox]: Needs Manual Review	怎么样 (Greeting 3), 怎么 (Location 3), 怎么办 (Travel)
285	3	Location 3	哪里	[2018-11-15 CFox]: Needs Manual Review	nǎ lǐ; nǎ lǐ	nǎ lǐ	[2018-11-15 CFox]: No alternate Pinyin available	where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment / also written 哪裡｜哪里 || where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment	where	where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment / also written 哪裡｜哪里  where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment	[2018-11-15 CFox]: Needs Manual Review	n/a
286	3	Location 3	这里	這裡	zhè lǐ	zhè lǐ	[2018-11-15 CFox]: No alternate Pinyin available	here	Here	here	[2018-11-15 CFox]: Needs Manual Review	n/a
287	3	Location 3	那里	[2018-11-15 CFox]: Needs Manual Review	nà li; nà li	nà li	[2018-11-15 CFox]: No alternate Pinyin available	there / that place / also written 那裡｜那里 || there / that place	There	there / that place / also written 那裡｜那里  there / that place	[2018-11-15 CFox]: Needs Manual Review	n/a
288	3	Location 3	往	往	wǎng	wǎng	[2018-11-15 CFox]: No alternate Pinyin available	to go (in a direction) / to / towards / (of a train) bound for / past / previous	to	to go (in a direction) / to / towards / (of a train) bound for / past / previous	[2018-11-15 CFox]: Needs Manual Review	n/a
289	3	Location 3	里	裡	lǐ; Lǐ; lǐ	lǐ	[2018-11-15 CFox]: Needs Manual Review	lining / interior / inside / internal / also written 裏｜里 || Li (surname) || li, ancient measure of length, approx. 500 m / neighborhood / ancient administrative unit of 25 families / (Tw) borough, administrative unit between the township 鎮｜镇 and neighborhood 鄰｜邻 levels	in	lining / interior / inside / internal / also written 裏｜里  Li (surname)  li, ancient measure of length, approx. 500 m / neighborhood / ancient administrative unit of 25 families / (Tw) borough, administrative unit between the township 鎮｜镇 and neighborhood 鄰｜邻 levels	[2018-11-15 CFox]: Needs Manual Review	哪里 (Location 3), 这里 (Location 3), 那里 (Location 3), 里 (Location 3), 里 (Location 4), 里面 (Weather)
290	3	Hobbies 1	喜欢	喜歡	xǐ huan	xǐ huan	[2018-11-15 CFox]: No alternate Pinyin available	to like / to be fond of	like	to like / to be fond of	[2018-11-15 CFox]: Needs Manual Review	n/a
291	3	Hobbies 1	看	看	kān; kàn	kān	[2018-11-15 CFox]: Needs Manual Review	to look after / to take care of / to watch / to guard || to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger)	Look	to look after / to take care of / to watch / to guard  to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger)	[2018-11-15 CFox]: Needs Manual Review	看 (Hobbies 1), 好看 (Shopping 2), 看起来 (Personality and Feelings)
292	3	Hobbies 1	书	書	Shū; shū	shū	[2018-11-15 CFox]: No alternate Pinyin available	abbr. for 書經｜书经 || book / letter / document / CL: 本, 冊｜册, 部 / to write	book	abbr. for 書經｜书经  book / letter / document / CL: 本, 冊｜册, 部 / to write	[2018-11-15 CFox]: Needs Manual Review	书 (Hobbies 1), 图书馆 (Location 5)
293	3	Hobbies 1	喜	喜	xǐ	xǐ	[2018-11-15 CFox]: No alternate Pinyin available	to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad	like	to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad	[2018-11-15 CFox]: Needs Manual Review	喜欢 (Hobbies 1), 喜 (Hobbies 1), 恭喜 (Festivals)
294	3	Hobbies 1	欢	歡	huān; huān; huān	huān	[2018-11-15 CFox]: Needs Manual Review	joyous / happy / pleased || hubbub / clamor / variant of 歡｜欢 || a breed of horse / variant of 歡｜欢	Joyous	joyous / happy / pleased  hubbub / clamor / variant of 歡｜欢  a breed of horse / variant of 歡｜欢	[2018-11-15 CFox]: Needs Manual Review	喜欢 (Hobbies 1), 欢 (Hobbies 1), 欢迎 (Shopping 1)
295	3	Hobbies 1	玩	玩	wán	wán	[2018-11-15 CFox]: No alternate Pinyin available	to play / to have fun / to trifle with / toy / sth used for amusement / curio or antique (Taiwan pr. [wan4]) / to keep sth for entertainment	play	to play / to have fun / to trifle with / toy / sth used for amusement / curio or antique (Taiwan pr. [wan4]) / to keep sth for entertainment	[2018-11-15 CFox]: Needs Manual Review	n/a
296	3	Hobbies 1	电脑	電腦	diàn nǎo	diàn nǎo	[2018-11-15 CFox]: No alternate Pinyin available	computer / CL: 臺｜台	computer	computer / CL: 臺｜台	[2018-11-15 CFox]: Needs Manual Review	n/a
297	3	Hobbies 1	游戏	遊戲	yóu xì	yóu xì	[2018-11-15 CFox]: No alternate Pinyin available	game / CL: 場｜场 / to play	game	game / CL: 場｜场 / to play	[2018-11-15 CFox]: Needs Manual Review	n/a
298	3	Hobbies 1	脑	腦	nǎo	nǎo	[2018-11-15 CFox]: No alternate Pinyin available	brain / mind / head / essence	brain	brain / mind / head / essence	[2018-11-15 CFox]: Needs Manual Review	电脑 (Hobbies 1), 脑 (Hobbies 1)
299	3	Hobbies 1	游	[2018-11-15 CFox]: Needs Manual Review	Yóu; yóu; yóu	yóu	[2018-11-15 CFox]: Needs Manual Review	surname You || to swim / variant of 遊｜游 || to walk / to tour / to roam / to travel	tour	surname You  to swim / variant of 遊｜游  to walk / to tour / to roam / to travel	[2018-11-15 CFox]: Needs Manual Review	游戏 (Hobbies 1), 游 (Hobbies 1), 旅游 (Hobbies 2), 游 (Sports 1), 游泳 (Sports 1), 漫游 (Travel 3), 导游 (Travel 3)
300	3	Hobbies 1	戏	戲	xì	xì	[2018-11-15 CFox]: No alternate Pinyin available	trick / drama / play / show / CL: 出, 場｜场, 臺｜台	play	trick / drama / play / show / CL: 出, 場｜场, 臺｜台	[2018-11-15 CFox]: Needs Manual Review	游戏 (Hobbies 1), 戏 (Hobbies 1)
301	3	Hobbies 1	听	[2018-11-15 CFox]: Needs Manual Review	yǐn; tīng; tìng	yǐn	[2018-11-15 CFox]: Needs Manual Review	smile (archaic) || to listen / to hear / to obey / a can (loanword from English 'tin') / classifier for canned beverages || (literary pronunciation, still advocated in Taiwan) to rule / to sentence / to allow	listen	smile (archaic)  to listen / to hear / to obey / a can (loanword from English 'tin') / classifier for canned beverages  (literary pronunciation, still advocated in Taiwan) to rule / to sentence / to allow	[2018-11-15 CFox]: Needs Manual Review	n/a
302	3	Hobbies 1	音乐	音樂	yīn yuè	yīn yuè	[2018-11-15 CFox]: No alternate Pinyin available	music / CL: 張｜张, 曲, 段	music	music / CL: 張｜张, 曲, 段	[2018-11-15 CFox]: Needs Manual Review	n/a
303	3	Hobbies 1	歌	歌	gē	gē	[2018-11-15 CFox]: No alternate Pinyin available	song / CL: 支, 首 / to sing	song	song / CL: 支, 首 / to sing	[2018-11-15 CFox]: Needs Manual Review	n/a
304	3	Hobbies 1	音	音	yīn	yīn	[2018-11-15 CFox]: No alternate Pinyin available	sound / noise / note (of musical scale) / tone / news / syllable / reading (phonetic value of a character)	sound	sound / noise / note (of musical scale) / tone / news / syllable / reading (phonetic value of a character)	[2018-11-15 CFox]: Needs Manual Review	音乐 (Hobbies 1), 音 (Hobbies 1), 声音 (Environment)
305	3	Hobbies 1	乐	樂	Lè; Yuè; lè; yuè	lè	[2018-11-15 CFox]: Needs Manual Review	surname Le || surname Yue || happy / cheerful / to laugh || music	fun	surname Le  surname Yue  happy / cheerful / to laugh  music	[2018-11-15 CFox]: Needs Manual Review	音乐 (Hobbies 1), 乐 (Hobbies 1), 乐 (Celebration), 快乐 (Celebration)
306	3	Hobbies 1	跳舞	跳舞	tiào wǔ	tiào wǔ	[2018-11-15 CFox]: No alternate Pinyin available	to dance	dancing	to dance	[2018-11-15 CFox]: Needs Manual Review	n/a
307	3	Hobbies 1	唱	唱	chàng	chàng	[2018-11-15 CFox]: No alternate Pinyin available	to sing / to call loudly / to chant	sing	to sing / to call loudly / to chant	[2018-11-15 CFox]: Needs Manual Review	n/a
308	3	Hobbies 1	跳	跳	tiào	tiào	[2018-11-15 CFox]: No alternate Pinyin available	to jump / to hop / to skip over / to bounce / to palpitate	jump	to jump / to hop / to skip over / to bounce / to palpitate	[2018-11-15 CFox]: Needs Manual Review	跳舞 (Hobbies 1), 跳 (Hobbies 1)
309	3	Hobbies 1	舞	舞	wǔ	wǔ	[2018-11-15 CFox]: No alternate Pinyin available	to dance / to wield / to brandish	dance	to dance / to wield / to brandish	[2018-11-15 CFox]: Needs Manual Review	跳舞 (Hobbies 1), 舞 (Hobbies 1)
310	3	Daily Routine 1	起床	起床	qǐ chuáng	qǐ chuáng	[2018-11-15 CFox]: No alternate Pinyin available	to get out of bed / to get up	get up	to get out of bed / to get up	[2018-11-15 CFox]: Needs Manual Review	n/a
311	3	Daily Routine 1	上学	上學	shàng xué	shàng xué	[2018-11-15 CFox]: No alternate Pinyin available	to go to school / to attend school	go to school	to go to school / to attend school	[2018-11-15 CFox]: Needs Manual Review	n/a
312	3	Daily Routine 1	上班	上班	shàng bān	shàng bān	[2018-11-15 CFox]: No alternate Pinyin available	to go to work / to be on duty / to start work / to go to the office	Go to work	to go to work / to be on duty / to start work / to go to the office	[2018-11-15 CFox]: Needs Manual Review	n/a
313	3	Daily Routine 1	早饭	早飯	zǎo fàn	zǎo fàn	[2018-11-15 CFox]: No alternate Pinyin available	breakfast / CL: 份, 頓｜顿, 次, 餐	breakfast	breakfast / CL: 份, 頓｜顿, 次, 餐	[2018-11-15 CFox]: Needs Manual Review	n/a
314	3	Daily Routine 1	床	床	chuáng	chuáng	[2018-11-15 CFox]: No alternate Pinyin available	bed / couch / classifier for beds / CL: 張｜张	bed	bed / couch / classifier for beds / CL: 張｜张	[2018-11-15 CFox]: Needs Manual Review	起床 (Daily Routine 1), 床 (Daily Routine 1)
315	3	Daily Routine 1	班	班	Bān; bān	bān	[2018-11-15 CFox]: No alternate Pinyin available	surname Ban || team / class / squad / work shift / ranking / CL: 個｜个 / classifier for groups	class	surname Ban  team / class / squad / work shift / ranking / CL: 個｜个 / classifier for groups	[2018-11-15 CFox]: Needs Manual Review	上班 (Daily Routine 1), 班 (Daily Routine 1), 下班 (Daily Routine 1), 西班牙 (Hobbies 2), 班 (Hobbies 2), 西班牙语 (Hobbies 2), 班 (School 2), 加班 (Work 3)
316	3	Daily Routine 1	从	從	Cóng; cóng; zòng	cóng	[2018-11-15 CFox]: Needs Manual Review	surname Cong || from / through / via / to follow / to obey / to engage in (an activity) / never (in negative sentence) / (Taiwan pr. [zong4]) retainer / assistant / accomplice / related by common paternal grandfather or earlier ancestor || second cousin	From	surname Cong  from / through / via / to follow / to obey / to engage in (an activity) / never (in negative sentence) / (Taiwan pr. [zong4]) retainer / assistant / accomplice / related by common paternal grandfather or earlier ancestor  second cousin	[2018-11-15 CFox]: Needs Manual Review	从 (Daily Routine 1), 从来 (Weather)
317	3	Daily Routine 1	睡觉	睡覺	shuì jiào	shuì jiào	[2018-11-15 CFox]: No alternate Pinyin available	to go to bed / to sleep	go to bed	to go to bed / to sleep	[2018-11-15 CFox]: Needs Manual Review	n/a
318	3	Daily Routine 1	午饭	午飯	wǔ fàn	wǔ fàn	[2018-11-15 CFox]: No alternate Pinyin available	lunch / CL: 份, 頓｜顿, 次, 餐	lunch	lunch / CL: 份, 頓｜顿, 次, 餐	[2018-11-15 CFox]: Needs Manual Review	n/a
319	3	Daily Routine 1	睡	睡	shuì	shuì	[2018-11-15 CFox]: No alternate Pinyin available	to sleep / to lie down	sleep	to sleep / to lie down	[2018-11-15 CFox]: Needs Manual Review	睡觉 (Daily Routine 1), 睡 (Daily Routine 1)
320	3	Daily Routine 1	觉	覺	jiào; jué	jiào	[2018-11-15 CFox]: Needs Manual Review	a nap / a sleep / CL: 場｜场 || to feel / to find that / thinking / awake / aware	feel	a nap / a sleep / CL: 場｜场  to feel / to find that / thinking / awake / aware	[2018-11-15 CFox]: Needs Manual Review	睡觉 (Daily Routine 1), 觉 (Daily Routine 1), 觉 (Health 1), 觉得 (Health 1)
321	3	Daily Routine 1	放学	放學	fàng xué	fàng xué	[2018-11-15 CFox]: No alternate Pinyin available	to dismiss students at the end of the school day	School	to dismiss students at the end of the school day	[2018-11-15 CFox]: Needs Manual Review	n/a
